dataset,label0,label1,count0,count1,samples,balance
MCF-7,01:1cb3c5de3f8b1f78111f5c83e2947667,,2262,2214,4476,0.98
MCF-7,01:20b7adc4e7c086b50f6ae769e9a36cbc,,2404,2189,4593,0.91
MCF-7,02:ce1732986fb61f6068d0122ae6358c47,,2275,2182,4457,0.96
MCF-7,01:a9a6e272dacf6c0c1b662b4e147af315,,2203,2181,4384,0.99
MCF-7,02:5191e000543c5c81390fecbe79f6a567,,2470,2141,4611,0.87
MCF-7,01:ace81ac2facc4bd2c36c25654feb79de,,2317,2138,4455,0.92
MCF-7,01:7b99b1318769d6e2e224c251f91e860b,,3171,2104,5275,0.66
MCF-7,02:97f34d69f111c01bebdc3c06b97c4f64,,3171,2104,5275,0.66
MCF-7,02:4c2914f665661e9c7a97a0bcb1b15780,,2311,2096,4407,0.91
MCF-7,02:c6ee4695bd935900d0337916e1ea23a3,,2977,2076,5053,0.70
MCF-7,01:084e3bbb2a152e82fcfddacb1bda56e8,,2383,2075,4458,0.87
MCF-7,01:8a8683d8e4e47f0171dd2bb744be466a,,3924,2071,5995,0.53
MCF-7,01:72f34668e623a3370a1e58db21fd0d1e,,4292,2057,6349,0.48
MCF-7,02:44ac54f3384ccaba38169986be138276,,2111,2047,4158,0.97
MCF-7,03:1dcf8c6acc73ce9fed22e82ec6950d59,,2111,2047,4158,0.97
MCF-7,02:9680b973282dee8a1b353bacfcab9c5a,,2117,2042,4159,0.96
MCF-7,01:6a010362d7d04d347edf102e14e8d17f,,2030,2173,4203,0.93
MCF-7,01:bdea73a52fc420d7ff82879fb72b370b,,2704,2010,4714,0.74
MCF-7,02:6069ee2df5d6189e541a117442442faa,,2922,2003,4925,0.69
MCF-7,01:306bba0232fc46dd395dfd3674efb043,,4820,1998,6818,0.41
MCF-7,02:99eab47f7b5a3651a3bd068a57820998,,2182,1994,4176,0.91
MCF-7,01:c65bbfae326767d26d5d4262b58dde8d,,4707,1993,6700,0.42
MCF-7,02:d537dc70fd2b49cb161b3db97a789869,,2681,1986,4667,0.74
MCF-7,02:f2a52df187b02ea74a1bd48ecb5babf4,,2007,1978,3985,0.99
MCF-7,03:f25a7c3ac44b3449ca84eddfa918f847,,2007,1978,3985,0.99
MCF-7,01:317fc8cd2fc13b8c3e806da114ca3abe,,3989,1965,5954,0.49
MCF-7,02:a6168a5e476c77c90340b7f859989b4c,,2536,1965,4501,0.77
MCF-7,02:0dbb852f0053ac44de3103179cdb45d6,,2024,1961,3985,0.97
MCF-7,02:37e06ee601db2f20bcb80cb7a8495e64,,3401,1960,5361,0.58
MCF-7,02:dd9c082c7fa722dbbf317db1b7bdf626,,1957,2167,4124,0.90
MCF-7,02:4a19c56eceb2af1448c880c4cf6dbb68,,1947,2091,4038,0.93
MCF-7,02:fa26a863793df7ae37bc53bbd7d3b3bf,,2561,1946,4507,0.76
MCF-7,02:379f9030d2c3f1dc8b65fd57b4cc56b4,,2209,1939,4148,0.88
MCF-7,02:ed1e8884336a944a17c4f095d78ad7e6,,3051,1929,4980,0.63
MCF-7,02:a4f8c3124c85be423f2528251aa89ead,,1926,2020,3946,0.95
MCF-7,02:da942b9ec0bcf7117f328682fd90e171,,2030,1923,3953,0.95
MCF-7,02:6dbe4fa455c30b7a9625b42488515b1e,,2169,1918,4087,0.88
MCF-7,02:ab57a9cf6a56e57d81dbd7475cd26f52,,3101,1915,5016,0.62
MCF-7,01:0bb389b12346dc3a33bc96653224bb46,,1918,1913,3831,1.00
MCF-7,02:500c50e1451a93aa12d2b5bf78ad4aea,,2277,1904,4181,0.84
MCF-7,03:3861826d1ee57430f94636baf76bc466,,1890,2186,4076,0.86
MCF-7,02:5f89fa2ba56e0816109b7b7a701b667c,,1949,1885,3834,0.97
MCF-7,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,,7062,1884,8946,0.27
MCF-7,02:9951bc9e3bf024ec6542563ceedc0415,,2363,1861,4224,0.79
MCF-7,01:a4ef450f3f7518847ea88b96e055c223,,2984,1859,4843,0.62
MCF-7,01:5d7d1403d53292740c12da79e9a3b43d,,4398,1846,6244,0.42
MCF-7,02:136e07441cce25e262289ffc58c21ba4,,1842,2190,4032,0.84
MCF-7,03:598b75c84aa93acab28ebafaefe4b788,,4908,1840,6748,0.37
MCF-7,02:b66ba5adf78b7700c376640333eb7736,,1840,2219,4059,0.83
MCF-7,03:7ad2731ff74a11c94caef4b3c0d1ce33,,1840,2219,4059,0.83
MCF-7,02:d89717bf8a73761ccf2633c0fb99a828,,1834,2187,4021,0.84
MCF-7,02:4877367ef9ab055863b947c07e927e2b,,1830,2035,3865,0.90
MCF-7,02:279a16b20b199cc6757db7021808789b,,2217,1803,4020,0.81
MCF-7,02:1238461d039a1979e0a58bd6afbbc32c,,1792,2164,3956,0.83
MCF-7,02:464e6dd489b9b7225c46646084237d80,,1791,2203,3994,0.81
MCF-7,01:6e87c6a96aa5212b2a7bd4223d278f50,,1784,2103,3887,0.85
MCF-7,00:5,,4732,1768,6500,0.37
MCF-7,02:dba282b7db8650a3074aa32036c683c9,,1766,2103,3869,0.84
MCF-7,01:e4796f4cca7cb4d0f839dae3e9b85f3e,,1756,2165,3921,0.81
MCF-7,02:89ba7f08f7256493d6003652202319e3,,2990,1746,4736,0.58
MCF-7,01:f04d28b6c4a59c0b0b5dcf28ff92c379,,1727,2203,3930,0.78
MCF-7,02:51796e66aed3aca766ec178e8c970f1c,,1727,2063,3790,0.84
MCF-7,03:5fe166119d0deb63b24c688df2006586,,1705,2040,3745,0.84
MCF-7,02:e97400e9da6c4d9ed81a9dde7e8bf731,,3460,1665,5125,0.48
MCF-7,03:bc024b8c72e9fb75cd2d8489a726661d,,3460,1665,5125,0.48
MCF-7,02:bbecb1f1073f446a1b89a34c3f6effab,,4804,1662,6466,0.35
MCF-7,01:db6b9a0177ab02b402fd3dbd2526e04d,,1642,2175,3817,0.75
MCF-7,00:6,,1620,2136,3756,0.76
MCF-7,01:4ea50e7e12851278e8eea2024253f517,,1604,2137,3741,0.75
MCF-7,02:2dfbbfa750db430ab9f82cee70e9305f,,1597,2232,3829,0.72
MCF-7,02:cbd4aaf041f9c40683f7422dd5396386,,5037,1594,6631,0.32
MCF-7,01:89f698e3e1554e30f713baddf67a6259,,5139,1588,6727,0.31
MCF-7,02:354e6647d4a4f4080ce49df42f15223a,,3546,1585,5131,0.45
MCF-7,02:c8bcfaf08c304f20b66aa0fab4efdee7,,1528,2168,3696,0.70
MCF-7,03:b2dfe88763ce0a8a0af9bfdd2c800d67,,1528,2168,3696,0.70
MOLT-4,01:1cb3c5de3f8b1f78111f5c83e2947667,,3180,2997,6177,0.94
MOLT-4,01:20b7adc4e7c086b50f6ae769e9a36cbc,,3074,2994,6068,0.97
MOLT-4,01:a9a6e272dacf6c0c1b662b4e147af315,,3064,2988,6052,0.98
MOLT-4,02:dd9c082c7fa722dbbf317db1b7bdf626,,3000,2977,5977,0.99
MOLT-4,02:ce1732986fb61f6068d0122ae6358c47,,3491,2955,6446,0.85
MOLT-4,02:5191e000543c5c81390fecbe79f6a567,,3559,2930,6489,0.82
MOLT-4,01:ace81ac2facc4bd2c36c25654feb79de,,3176,2930,6106,0.92
MOLT-4,02:4a19c56eceb2af1448c880c4cf6dbb68,,2959,2909,5868,0.98
MOLT-4,02:4c2914f665661e9c7a97a0bcb1b15780,,3398,2877,6275,0.85
MOLT-4,02:c6ee4695bd935900d0337916e1ea23a3,,4149,2867,7016,0.69
MOLT-4,01:8a8683d8e4e47f0171dd2bb744be466a,,5522,2833,8355,0.51
MOLT-4,01:7b99b1318769d6e2e224c251f91e860b,,4699,2832,7531,0.60
MOLT-4,02:97f34d69f111c01bebdc3c06b97c4f64,,4699,2832,7531,0.60
MOLT-4,01:72f34668e623a3370a1e58db21fd0d1e,,5746,2817,8563,0.49
MOLT-4,01:084e3bbb2a152e82fcfddacb1bda56e8,,3658,2809,6467,0.77
MOLT-4,02:44ac54f3384ccaba38169986be138276,,3086,2786,5872,0.90
MOLT-4,03:1dcf8c6acc73ce9fed22e82ec6950d59,,3086,2786,5872,0.90
MOLT-4,02:9680b973282dee8a1b353bacfcab9c5a,,2957,2777,5734,0.94
MOLT-4,02:99eab47f7b5a3651a3bd068a57820998,,3294,2763,6057,0.84
MOLT-4,02:a4f8c3124c85be423f2528251aa89ead,,2891,2755,5646,0.95
MOLT-4,01:bdea73a52fc420d7ff82879fb72b370b,,3663,2753,6416,0.75
MOLT-4,02:a6168a5e476c77c90340b7f859989b4c,,4626,2751,7377,0.59
MOLT-4,02:d537dc70fd2b49cb161b3db97a789869,,3694,2745,6439,0.74
MOLT-4,01:306bba0232fc46dd395dfd3674efb043,,6190,2732,8922,0.44
MOLT-4,01:6a010362d7d04d347edf102e14e8d17f,,2732,2988,5720,0.91
MOLT-4,02:6069ee2df5d6189e541a117442442faa,,3760,2729,6489,0.73
MOLT-4,02:da942b9ec0bcf7117f328682fd90e171,,2866,2728,5594,0.95
MOLT-4,02:f2a52df187b02ea74a1bd48ecb5babf4,,3097,2717,5814,0.88
MOLT-4,03:f25a7c3ac44b3449ca84eddfa918f847,,3097,2717,5814,0.88
MOLT-4,02:fa26a863793df7ae37bc53bbd7d3b3bf,,3390,2713,6103,0.80
MOLT-4,03:3861826d1ee57430f94636baf76bc466,,2712,2983,5695,0.91
MOLT-4,02:b66ba5adf78b7700c376640333eb7736,,2710,2999,5709,0.90
MOLT-4,03:7ad2731ff74a11c94caef4b3c0d1ce33,,2710,2999,5709,0.90
MOLT-4,02:6dbe4fa455c30b7a9625b42488515b1e,,2959,2690,5649,0.91
MOLT-4,01:c65bbfae326767d26d5d4262b58dde8d,,6859,2684,9543,0.39
MOLT-4,02:ed1e8884336a944a17c4f095d78ad7e6,,4386,2682,7068,0.61
MOLT-4,02:ab57a9cf6a56e57d81dbd7475cd26f52,,4175,2679,6854,0.64
MOLT-4,01:6e87c6a96aa5212b2a7bd4223d278f50,,2677,2865,5542,0.93
MOLT-4,02:4877367ef9ab055863b947c07e927e2b,,2671,2774,5445,0.96
MOLT-4,01:317fc8cd2fc13b8c3e806da114ca3abe,,5732,2665,8397,0.46
MOLT-4,02:dba282b7db8650a3074aa32036c683c9,,2658,2865,5523,0.93
MOLT-4,02:0dbb852f0053ac44de3103179cdb45d6,,2893,2646,5539,0.91
MOLT-4,02:37e06ee601db2f20bcb80cb7a8495e64,,4929,2638,7567,0.54
MOLT-4,02:9951bc9e3bf024ec6542563ceedc0415,,3256,2632,5888,0.81
MOLT-4,02:379f9030d2c3f1dc8b65fd57b4cc56b4,,3176,2631,5807,0.83
MOLT-4,02:500c50e1451a93aa12d2b5bf78ad4aea,,3129,2601,5730,0.83
MOLT-4,01:5d7d1403d53292740c12da79e9a3b43d,,6199,2597,8796,0.42
MOLT-4,02:5f89fa2ba56e0816109b7b7a701b667c,,2868,2597,5465,0.91
MOLT-4,01:0bb389b12346dc3a33bc96653224bb46,,2572,2666,5238,0.96
MOLT-4,03:598b75c84aa93acab28ebafaefe4b788,,7446,2563,10009,0.34
MOLT-4,01:a4ef450f3f7518847ea88b96e055c223,,4204,2543,6747,0.60
MOLT-4,02:464e6dd489b9b7225c46646084237d80,,2542,3003,5545,0.85
MOLT-4,03:5fe166119d0deb63b24c688df2006586,,2524,2824,5348,0.89
MOLT-4,02:279a16b20b199cc6757db7021808789b,,3422,2499,5921,0.73
MOLT-4,02:d89717bf8a73761ccf2633c0fb99a828,,2477,3006,5483,0.82
MOLT-4,02:89ba7f08f7256493d6003652202319e3,,4324,2416,6740,0.56
MOLT-4,02:cf79e496e196bdc1fdbab236ecfbf968,,2407,2849,5256,0.84
MOLT-4,03:fae422c2f0602bbc8d746ed31612f6d7,,2407,2849,5256,0.84
MOLT-4,02:1238461d039a1979e0a58bd6afbbc32c,,2405,2978,5383,0.81
MOLT-4,00:5,,6931,2399,9330,0.35
MOLT-4,02:51796e66aed3aca766ec178e8c970f1c,,2365,2831,5196,0.84
MOLT-4,02:2dfbbfa750db430ab9f82cee70e9305f,,2343,3042,5385,0.77
MOLT-4,02:bbecb1f1073f446a1b89a34c3f6effab,,6857,2335,9192,0.34
MOLT-4,02:e97400e9da6c4d9ed81a9dde7e8bf731,,5022,2324,7346,0.46
MOLT-4,03:bc024b8c72e9fb75cd2d8489a726661d,,5022,2324,7346,0.46
MOLT-4,02:136e07441cce25e262289ffc58c21ba4,,2322,2996,5318,0.78
MOLT-4,02:77a31408da712b1bc1fa77e81a6bdd8f,,2320,2894,5214,0.80
MOLT-4,03:2bb1fd5b3ca957e0ce0b91d830b78312,,2320,2894,5214,0.80
MOLT-4,01:e4796f4cca7cb4d0f839dae3e9b85f3e,,2306,2957,5263,0.78
MOLT-4,02:c8bcfaf08c304f20b66aa0fab4efdee7,,2227,2967,5194,0.75
MOLT-4,01:f04d28b6c4a59c0b0b5dcf28ff92c379,,2208,3050,5258,0.72
MOLT-4,02:cbd4aaf041f9c40683f7422dd5396386,,7407,2204,9611,0.30
MOLT-4,01:89f698e3e1554e30f713baddf67a6259,,7535,2199,9734,0.29
MOLT-4,02:354e6647d4a4f4080ce49df42f15223a,,4923,2190,7113,0.44
NCI-H23,02:2dfbbfa750db430ab9f82cee70e9305f,,2415,2001,4416,0.83
NCI-H23,02:7fbf64a9beeb22ea6feb62d610a700d1,,2853,1995,4848,0.70
NCI-H23,03:bb3e9206c08fa37030da3aa50cd4fd8d,,2853,1995,4848,0.70
NCI-H23,02:136e07441cce25e262289ffc58c21ba4,,2432,1992,4424,0.82
